City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Matane,CA,48.8286,-67.522,63.77,96,100,4.21,overcast clouds
79,Gat,IL,31.61,34.7642,84.4,100,0,6.22,clear sky
80,Mutoko,ZW,-17.397,32.2268,57.47,73,66,4.9,broken clouds
81,Krasnoselkup,RU,65.7,82.4667,58.71,60,100,8.37,overcast clouds
82,Sorland,NO,67.667,12.6934,55.26,83,58,5.06,broken clouds
83,Jijiga,ET,9.35,42.8,65.64,65,100,16.58,overcast clouds
84,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,6.91,scattered clouds
85,Santa Rosa,PH,14.3122,121.1114,83.1,80,8,5.48,clear sky
86,Codrington,AU,-38.2667,141.9667,36.0,95,7,7.67,clear sky
87,Bud,US,39.447,-86.1758,89.58,63,24,3.2,few clouds
88,Itaueira,BR,-7.6033,-43.0256,92.7,25,24,8.46,few clouds
89,Qaqortoq,GL,60.7167,-46.0333,47.23,90,100,6.24,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,47.88,87,14,4.36,few clouds
91,Husavik,IS,66.0449,-17.3389,50.16,88,100,7.36,overcast clouds
92,Trofors,NO,65.5333,13.4063,53.47,77,100,1.54,overcast clouds
93,Yershichi,RU,53.6725,32.7542,56.07,92,21,4.27,few clouds
94,La Fria,VE,8.2203,-72.2439,89.71,45,26,6.78,scattered clouds
95,Sladkovo,RU,55.5284,70.3385,62.92,67,100,4.29,overcast clouds
96,Aswan,EG,24.0934,32.907,94.71,15,0,9.35,clear sky
97,Glace Bay,CA,46.1969,-59.957,72.16,96,100,13.8,overcast clouds
98,Augustow,PL,53.8432,22.9798,63.14,88,79,5.17,broken clouds
99,Amapa,BR,1.0,-52.0,85.23,59,12,5.23,few clouds
100,Lasa,IT,46.6166,10.7002,71.11,87,25,3.33,scattered clouds
101,Goose Creek,US,32.981,-80.0326,93.02,69,97,4.0,overcast clouds
102,Junin,AR,-34.5838,-60.9433,62.78,33,0,11.68,clear sky
103,Tucurui,BR,-3.7661,-49.6725,90.61,44,97,2.55,overcast clouds
104,Odweyne,SO,9.4092,45.064,76.1,45,87,19.91,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,36.28,96,100,6.91,overcast clouds
106,Kruisfontein,ZA,-34.0033,24.7314,54.88,90,100,13.33,light rain
107,Hamilton,US,39.1834,-84.5333,91.74,59,0,9.22,clear sky
108,Verkhovazhye,RU,60.7472,42.0465,55.11,95,100,14.16,light rain
109,Gornopravdinsk,RU,60.05,69.9,59.86,76,7,4.85,clear sky
110,Aksu,CN,41.1231,80.2644,74.91,36,0,2.51,clear sky
111,Torbay,CA,47.6666,-52.7314,71.89,82,100,17.27,overcast clouds
112,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,91,46,10.49,scattered clouds
113,Hofn,IS,64.2539,-15.2082,50.02,93,100,5.75,mist
114,Wilmington,US,34.2257,-77.9447,92.91,74,75,8.05,broken clouds
115,Lokoja,NG,7.8024,6.743,74.39,89,77,2.93,broken clouds
116,Antofagasta,CL,-23.65,-70.4,56.48,68,29,6.91,scattered clouds
117,Gwadar,PK,25.1216,62.3254,83.95,87,84,9.46,light rain
118,Pangnirtung,CA,66.1451,-65.7125,48.94,80,100,3.15,light rain
119,Meulaboh,ID,4.1363,96.1285,75.94,85,95,3.42,overcast clouds
120,Bulembu,SZ,-25.9667,31.1333,53.85,80,7,3.29,clear sky
121,Lapua,FI,62.9693,23.0088,60.35,70,7,4.68,clear sky
122,Villamaria,CO,5.0449,-75.5146,72.07,73,98,1.39,overcast clouds
123,Mezen,RU,65.8522,44.24,68.45,67,100,10.89,overcast clouds
124,Sumbe,AO,-11.2061,13.8437,69.6,86,0,6.91,clear sky
125,Maceio,BR,-9.6658,-35.7353,81.84,61,40,12.66,scattered clouds
126,Serenje,ZM,-13.2325,30.2352,56.75,69,51,3.22,broken clouds
127,Badarganj,BD,25.674,89.0549,82.67,82,100,6.89,overcast clouds
128,Meiganga,CM,6.5167,14.3,65.39,97,100,2.08,light rain
129,Ancud,CL,-41.8697,-73.8203,53.22,95,100,29.33,moderate rain
130,Sao Filipe,CV,14.8961,-24.4956,78.1,81,92,7.78,overcast clouds
131,Gardendale,US,33.6601,-86.8128,90.25,53,40,10.36,scattered clouds
132,Kars,TR,40.602,43.095,64.85,68,40,5.75,scattered clouds
133,Samfya,ZM,-11.3649,29.5565,70.0,41,95,5.19,overcast clouds
134,Meridian,US,43.6121,-116.3915,89.35,26,0,5.75,clear sky
135,Adrar,MR,20.5022,-10.0711,103.14,7,0,9.04,clear sky
136,Saldanha,ZA,-33.0117,17.9442,56.05,69,0,16.08,clear sky
137,Luderitz,NA,-26.6481,15.1594,59.05,69,0,19.33,clear sky
138,Priyutnoye,RU,46.1011,43.5072,64.22,84,99,2.95,overcast clouds
139,Morant Bay,JM,17.8815,-76.4093,91.71,66,4,12.95,clear sky
140,Najran,SA,17.4924,44.1277,80.64,42,100,9.17,overcast clouds
141,Rocha,UY,-34.4833,-54.3333,54.97,60,0,7.27,clear sky
142,Adre,TD,13.4667,22.2,76.66,71,100,13.91,overcast clouds
143,Ouadda,CF,8.0777,22.4007,68.05,98,100,3.56,light rain
144,Sarkand,KZ,45.41,79.9186,63.93,40,61,4.99,broken clouds
145,Jumla,NP,29.2747,82.1838,64.8,97,100,1.52,overcast clouds
146,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,73,75,17.27,broken clouds
147,Mitsamiouli,KM,-11.3847,43.2844,76.64,67,0,12.35,clear sky
148,Diu,IN,20.7141,70.9822,79.97,86,93,14.88,overcast clouds
149,Ostrovnoy,RU,68.0531,39.5131,51.06,89,100,11.9,overcast clouds
150,Berlevag,NO,70.8578,29.0864,62.4,88,75,10.36,broken clouds
151,Sabha,LY,27.0377,14.4283,87.75,20,4,13.65,clear sky
