City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Zar,AM,2022-07-19 18:19:45,40.2588,44.732,78.82,43,78,15.93
68,Ilulissat,GL,2022-07-19 18:12:36,69.2167,-51.1,55.42,62,75,3.44
69,Arraial Do Cabo,BR,2022-07-19 18:16:47,-22.9661,-42.0278,78.76,69,0,11.5
70,Tabou,CI,2022-07-19 18:19:45,4.423,-7.3528,76.19,68,97,7.61
71,Cayenne,GF,2022-07-19 18:15:18,4.9333,-52.3333,86.09,27,84,4.61
72,Tenenkou,ML,2022-07-19 18:19:46,14.4572,-4.9169,93.33,40,72,5.41
73,Torbay,CA,2022-07-19 18:19:46,47.6666,-52.7314,72.75,78,100,16.11
74,Trinidad,BO,2022-07-19 18:19:46,-14.8333,-64.9,89.58,51,20,3.44
75,Axim,GH,2022-07-19 18:19:46,4.8699,-2.2405,75.72,70,100,8.12
76,East London,ZA,2022-07-19 18:10:05,-33.0153,27.9116,67.19,77,31,12.17
77,Dunmore Town,BS,2022-07-19 18:19:47,25.5,-76.65,82.85,78,9,14.34
78,Montevideo,UY,2022-07-19 18:16:05,-34.8335,-56.1674,59.02,44,0,9.22
79,Laguna,US,2022-07-19 18:19:47,38.421,-121.4238,97.93,35,0,6.91
80,Plerin,FR,2022-07-19 18:19:48,48.5425,-2.7798,75.52,60,20,13.8
81,Longyearbyen,SJ,2022-07-19 18:16:48,78.2186,15.6401,51.64,82,40,3.44
82,Nara,JP,2022-07-19 18:19:05,34.6851,135.8049,78.49,71,68,1.63
83,Porto Walter,BR,2022-07-19 18:19:48,-8.2686,-72.7439,87.85,57,45,2.08
84,Chuy,UY,2022-07-19 18:19:48,-33.6971,-53.4616,54.28,61,0,5.66
85,Yadrin,RU,2022-07-19 18:19:49,55.9405,46.2062,56.3,85,7,7.87
86,Alcains,PT,2022-07-19 18:19:49,39.9164,-7.4566,87.57,33,0,10.85
87,Mezen,RU,2022-07-19 18:19:49,65.8522,44.24,69.78,63,93,11.03
88,Inhambane,MZ,2022-07-19 18:20:50,-23.865,35.3833,69.21,89,0,8.01
89,Khalkhal,IR,2022-07-19 18:20:50,37.6189,48.5258,66.9,45,0,7.7
90,Itarema,BR,2022-07-19 18:20:50,-2.9248,-39.9167,86.45,60,78,16.91
91,Djougou,BJ,2022-07-19 18:20:51,9.7085,1.666,73.96,82,88,4.94
92,Upernavik,GL,2022-07-19 18:20:51,72.7868,-56.1549,45.54,72,100,6.33
93,Cape Town,ZA,2022-07-19 18:20:51,-33.9258,18.4232,55.9,77,20,9.22
94,Novyye Gorki,RU,2022-07-19 18:20:52,56.7253,41.0601,54.25,94,19,6.06
95,Porto Velho,BR,2022-07-19 18:20:52,-8.7619,-63.9039,93.25,33,20,5.75
96,Araouane,ML,2022-07-19 18:20:52,18.9048,-3.5265,91.33,34,83,12.12
97,Marsabit,KE,2022-07-19 18:20:53,2.3284,37.9899,66.83,53,59,21.63
98,Bonthe,SL,2022-07-19 18:14:06,7.5264,-12.505,78.24,74,100,9.86
99,Staroye Drozhzhanoye,RU,2022-07-19 18:20:53,54.7266,47.5677,59.52,74,20,8.55
100,Madinat Sittah Uktubar,EG,2022-07-19 18:20:53,29.8167,31.05,91.0,28,0,16.51
101,Qaanaaq,GL,2022-07-19 18:15:17,77.484,-69.3632,43.47,66,6,3.65
102,Ribeira Grande,PT,2022-07-19 18:20:54,38.5167,-28.7,75.6,88,40,6.91
